index,INFO_DATE,FCST_Rainfall,Q_IN
1,2023-01-01 00:00:00,0.51,53.00
2,2023-01-01 01:00:00,0.51,53.00
3,2023-01-01 02:00:00,0.51,53.00
4,2023-01-01 03:00:00,0.51,53.00
5,2023-01-01 04:00:00,0.51,53.00
6,2023-01-01 05:00:00,0.51,53.00
7,2023-01-01 06:00:00,0.51,53.00
8,2023-01-01 07:00:00,0.51,53.00
9,2023-01-01 08:00:00,0.51,53.00
10,2023-01-01 09:00:00,0.51,53.00
11,2023-01-01 10:00:00,0.51,53.00
12,2023-01-01 11:00:00,0.51,53.00
13,2023-01-01 12:00:00,0.51,53.00
14,2023-01-01 13:00:00,0.51,53.00
15,2023-01-01 14:00:00,0.51,53.00
16,2023-01-01 15:00:00,0.51,53.00
17,2023-01-01 16:00:00,0.51,53.00
18,2023-01-01 17:00:00,0.51,53.00
19,2023-01-01 18:00:00,0.51,53.00
20,2023-01-01 19:00:00,0.51,53.00
21,2023-01-01 20:00:00,0.51,53.00
22,2023-01-01 21:00:00,0.51,53.00
23,2023-01-01 22:00:00,0.51,53.00
24,2023-01-01 23:00:00,0.51,53.00
25,2023-01-02 00:00:00,0.51,53.00
26,2023-01-02 01:00:00,0.51,53.00
27,2023-01-02 02:00:00,0.51,53.00
28,2023-01-02 03:00:00,0.51,53.00
29,2023-01-02 04:00:00,0.51,53.00
30,2023-01-02 05:00:00,0.51,53.00
31,2023-01-02 06:00:00,0.51,53.00
32,2023-01-02 07:00:00,0.51,53.00
33,2023-01-02 08:00:00,0.51,53.00
34,2023-01-02 09:00:00,0.51,53.00
35,2023-01-02 10:00:00,0.51,53.00
36,2023-01-02 11:00:00,0.51,53.00
37,2023-01-02 12:00:00,0.51,53.00
38,2023-01-02 13:00:00,0.51,53.00
39,2023-01-02 14:00:00,0.51,53.00
40,2023-01-02 15:00:00,0.51,53.00
41,2023-01-02 16:00:00,0.51,53.00
42,2023-01-02 17:00:00,0.51,53.00
43,2023-01-02 18:00:00,0.51,53.00
44,2023-01-02 19:00:00,0.51,53.00
45,2023-01-02 20:00:00,0.51,53.00
46,2023-01-02 21:00:00,0.51,53.00
47,2023-01-02 22:00:00,0.51,53.00
48,2023-01-02 23:00:00,0.51,53.00
49,2023-01-03 00:00:00,0.51,53.00
50,2023-01-03 01:00:00,0.51,53.00
51,2023-01-03 02:00:00,0.51,53.00
52,2023-01-03 03:00:00,0.51,53.00
53,2023-01-03 04:00:00,0.51,53.00
54,2023-01-03 05:00:00,0.51,53.00
55,2023-01-03 06:00:00,0.51,53.00
56,2023-01-03 07:00:00,0.51,53.00
57,2023-01-03 08:00:00,0.51,53.00
58,2023-01-03 09:00:00,0.51,53.00
59,2023-01-03 10:00:00,0.51,53.00
60,2023-01-03 11:00:00,0.51,53.00
61,2023-01-03 12:00:00,0.51,53.00
62,2023-01-03 13:00:00,0.51,53.00
63,2023-01-03 14:00:00,0.51,53.00
64,2023-01-03 15:00:00,0.51,53.00
65,2023-01-03 16:00:00,0.51,53.00
66,2023-01-03 17:00:00,0.32,78.00
67,2023-01-03 18:00:00,0.39,53.43
68,2023-01-03 19:00:00,0.62,77.94
69,2023-01-03 20:00:00,0.73,53.24
