STA_NO,Area_NO,INFO_DATE,FCST_Rainfall,Q_IN
RFETS,09,2024-01-01 00:00:00.000,0.02427745664739885,0.0
RFETS,09,2024-01-01 01:00:00.000,0.0034682080924855496,0.0
RFETS,09,2024-01-01 02:00:00.000,0.0,0.0
RFETS,09,2024-01-01 03:00:00.000,0.0,0.0
RFETS,09,2024-01-01 05:00:00.000,0.0,0.0
RFETS,09,2024-01-01 06:00:00.000,0.0,0.0
RFETS,09,2024-01-01 07:00:00.000,0.0,0.0
RFETS,09,2024-01-01 08:00:00.000,0.0,9.397778
RFETS,09,2024-01-01 09:00:00.000,0.0,12.53667
RFETS,09,2024-01-01 10:00:00.000,0.0,9.401111
RFETS,09,2024-01-01 11:00:00.000,0.0,12.53222
RFETS,09,2024-01-01 12:00:00.000,0.0,9.4
RFETS,09,2024-01-01 13:00:00.000,0.0,12.53667
RFETS,09,2024-01-01 14:00:00.000,0.0,9.406667
RFETS,09,2024-01-01 15:00:00.000,0.0,12.54
RFETS,09,2024-01-01 16:00:00.000,0.0,13.00837
RFETS,09,2024-01-01 17:00:00.000,0.0,54.68571
RFETS,09,2024-01-01 18:00:00.000,0.0,16.49311
RFETS,09,2024-01-01 19:00:00.000,0.0,15.7449
RFETS,09,2024-01-01 20:00:00.000,0.0,18.07457
RFETS,09,2024-01-01 21:00:00.000,0.0,17.20188
RFETS,09,2024-01-01 22:00:00.000,0.0,16.38909
RFETS,09,2024-01-01 23:00:00.000,0.0,15.47389
RFETS,09,2024-01-02 00:00:00.000,0.0,15.47389
RFETS,09,2024-01-02 01:00:00.000,0.0,9.124142
RFETS,09,2024-01-02 02:00:00.000,0.0,9.820663
RFETS,09,2024-01-02 03:00:00.000,0.0,10.55518
RFETS,09,2024-01-02 04:00:00.000,0.0,8.21632
RFETS,09,2024-01-02 05:00:00.000,0.0,9.078022
RFETS,09,2024-01-02 06:00:00.000,0.0,9.90153
RFETS,09,2024-01-02 07:00:00.000,0.0,7.697171
RFETS,09,2024-01-02 08:00:00.000,0.0,9.39
RFETS,09,2024-01-02 09:00:00.000,0.0,9.39
RFETS,09,2024-01-02 10:00:00.000,0.0,12.51889
RFETS,09,2024-01-02 11:00:00.000,0.0,9.39
RFETS,09,2024-01-02 12:00:00.000,0.0,12.52444
RFETS,09,2024-01-02 13:00:00.000,0.0,9.391111
RFETS,09,2024-01-02 14:00:00.000,0.0,9.391111
RFETS,09,2024-01-02 15:00:00.000,0.0,12.52111
RFETS,09,2024-01-02 16:00:00.000,0.0,10.06068
RFETS,09,2024-01-02 17:00:00.000,0.0,30.03679
RFETS,09,2024-01-02 18:00:00.000,0.0,13.30759
RFETS,09,2024-01-02 19:00:00.000,0.0,15.49622
RFETS,09,2024-01-02 20:00:00.000,0.0,11.31201
RFETS,09,2024-01-02 21:00:00.000,0.0,13.09886
RFETS,09,2024-01-02 22:00:00.000,0.0,14.93056
RFETS,09,2024-01-02 23:00:00.000,0.0,8.669453
RFETS,09,2024-01-03 00:00:00.000,0.0,11.80056
RFETS,09,2024-01-03 01:00:00.000,0.0,8.511944
RFETS,09,2024-01-03 02:00:00.000,0.0,6.161757
RFETS,09,2024-01-03 03:00:00.000,0.0,7.097916
RFETS,09,2024-01-03 04:00:00.000,0.0,8.067326
RFETS,09,2024-01-03 05:00:00.000,0.0,6.312618
RFETS,09,2024-01-03 06:00:00.000,0.008670520231213872,7.610641
RFETS,09,2024-01-03 07:00:00.000,0.33121387283237,9.383333
RFETS,09,2024-01-03 08:00:00.000,0.24913294797687888,6.252222
RFETS,09,2024-01-03 09:00:00.000,0.07225433526011561,9.384444
RFETS,09,2024-01-03 10:00:00.000,0.2751445086705199,9.384444
RFETS,09,2024-01-03 11:00:00.000,1.1982658959537582,9.387777
RFETS,09,2024-01-03 12:00:00.000,0.8670520231213871,9.387777
RFETS,09,2024-01-03 13:00:00.000,0.23236994219653176,9.387777
RFETS,09,2024-01-03 14:00:00.000,0.2601156069364162,9.387777
RFETS,09,2024-01-03 15:00:00.000,0.1647398843930637,9.387777
RFETS,09,2024-01-03 16:00:00.000,0.19190751445086718,9.974002
RFETS,09,2024-01-03 17:00:00.000,0.12890173410404632,56.14821
RFETS,09,2024-01-03 18:00:00.000,0.1953757225433527,16.85969
RFETS,09,2024-01-03 19:00:00.000,0.01965317919075144,13.25912
RFETS,09,2024-01-03 20:00:00.000,0.0,15.77098
RFETS,09,2024-01-03 21:00:00.000,0.003468208092485549,18.2946
RFETS,09,2024-01-03 22:00:00.000,0.0,14.57322
RFETS,09,2024-01-03 23:00:00.000,0.005202312138728323,14.57322
RFETS,09,2024-01-04 00:00:00.000,0.0,14.57322
RFETS,09,2024-01-04 01:00:00.000,0.0,8.045162
RFETS,09,2024-01-04 02:00:00.000,0.020231213872832363,8.57119
RFETS,09,2024-01-04 03:00:00.000,0.0,9.039818
RFETS,09,2024-01-04 04:00:00.000,0.005202312138728323,6.518005
RFETS,09,2024-01-04 05:00:00.000,0.0,7.124189
RFETS,09,2024-01-04 06:00:00.000,0.0,7.707415
RFETS,09,2024-01-04 07:00:00.000,0.0,9.378889
RFETS,09,2024-01-04 08:00:00.000,0.0,9.378889
RFETS,09,2024-01-04 09:00:00.000,0.0,9.378889
RFETS,09,2024-01-04 10:00:00.000,0.0,6.25
RFETS,09,2024-01-04 11:00:00.000,0.0,9.38
RFETS,09,2024-01-04 12:00:00.000,0.0,9.38
RFETS,09,2024-01-04 13:00:00.000,0.0,6.255556
RFETS,09,2024-01-04 14:00:00.000,0.0,6.255556
RFETS,09,2024-01-04 15:00:00.000,0.0,6.254445
RFETS,09,2024-01-04 16:00:00.000,0.0,7.04424
RFETS,09,2024-01-04 18:00:00.000,0.0,14.16271
RFETS,09,2024-01-04 19:00:00.000,0.0,13.32172
RFETS,09,2024-01-04 20:00:00.000,0.0,12.43689
RFETS,09,2024-01-04 21:00:00.000,0.0,14.68332
RFETS,09,2024-01-04 22:00:00.000,0.0,11.5611
RFETS,09,2024-01-04 23:00:00.000,0.0,11.55888
RFETS,09,2024-01-05 00:00:00.000,0.0,11.55888
RFETS,09,2024-01-05 01:00:00.000,0.005202312138728323,7.787148
RFETS,09,2024-01-05 02:00:00.000,0.0,5.06949
RFETS,09,2024-01-05 03:00:00.000,0.0,5.922449
RFETS,09,2024-01-05 04:00:00.000,0.0,6.790442
RFETS,09,2024-01-05 05:00:00.000,0.0,4.540953
RFETS,09,2024-01-05 06:00:00.000,0.0,9.372222
RFETS,09,2024-01-05 07:00:00.000,0.0,6.25
