index,INFO_DATE,OBS_RAIN,Q_IN
1,2024-01-01 00:00:00,0.02,9.4
2,2024-01-01 01:00:00,0.00,9.4
3,2024-01-01 02:00:00,0.00,9.4
4,2024-01-01 03:00:00,0.00,9.4
5,2024-01-01 04:00:00,0.00,9.4
6,2024-01-01 05:00:00,0.00,9.4
7,2024-01-01 06:00:00,0.00,9.4
8,2024-01-01 07:00:00,0.00,9.4
9,2024-01-01 08:00:00,0.00,9.40
10,2024-01-01 09:00:00,0.00,12.54
11,2024-01-01 10:00:00,0.00,9.40
12,2024-01-01 11:00:00,0.00,12.53
13,2024-01-01 12:00:00,0.00,9.40
14,2024-01-01 13:00:00,0.00,12.54
15,2024-01-01 14:00:00,0.00,9.41
16,2024-01-01 15:00:00,0.00,12.54
17,2024-01-01 16:00:00,0.00,13.01
18,2024-01-01 17:00:00,0.00,54.69
19,2024-01-01 18:00:00,0.00,16.49
20,2024-01-01 19:00:00,0.00,15.74
21,2024-01-01 20:00:00,0.00,18.07
22,2024-01-01 21:00:00,0.00,17.20
23,2024-01-01 22:00:00,0.00,16.39
24,2024-01-01 23:00:00,0.00,15.47
25,2024-01-02 00:00:00,0.00,15.47
26,2024-01-02 01:00:00,0.00,9.12
27,2024-01-02 02:00:00,0.00,9.82
28,2024-01-02 03:00:00,0.00,10.56
29,2024-01-02 04:00:00,0.00,8.22
30,2024-01-02 05:00:00,0.00,9.08
31,2024-01-02 06:00:00,0.00,9.90
32,2024-01-02 07:00:00,0.00,7.70
33,2024-01-02 08:00:00,0.00,9.39
34,2024-01-02 09:00:00,0.00,9.39
35,2024-01-02 10:00:00,0.00,12.52
36,2024-01-02 11:00:00,0.00,9.39
37,2024-01-02 12:00:00,0.00,12.52
38,2024-01-02 13:00:00,0.00,9.39
39,2024-01-02 14:00:00,0.00,9.39
40,2024-01-02 15:00:00,0.00,12.52
41,2024-01-02 16:00:00,0.00,10.06
42,2024-01-02 17:00:00,0.00,30.04
43,2024-01-02 18:00:00,0.00,13.31
44,2024-01-02 19:00:00,0.00,15.50
