;檔案名稱:2022\RFETS_TimeSeries.txt
;檔案生成日期:2025-03-08 13:35:09
;檔案名稱:2022\RFETS_TimeSeries.txt
;檔案生成日期:2025-03-08 13:35:09
; Name       YYYY-MM-DDTHH:mm      VALUE
RFETS        2022-02-14T15:00      53.43
RFETS        2022-02-14T16:00      67.08
RFETS        2022-02-14T17:00      53.02
RFETS        2022-02-14T18:00      52.99
RFETS        2022-02-14T19:00      77.76
RFETS        2022-02-14T20:00      52.80
RFETS        2022-02-14T21:00      52.90
RFETS        2022-02-14T22:00      52.94
RFETS        2022-02-14T23:00      52.84
RFETS        2022-02-15T00:00      33.35
RFETS        2022-02-15T01:00      49.55
RFETS        2022-02-15T02:00      49.22
RFETS        2022-02-15T03:00      49.56
RFETS        2022-02-15T04:00      42.57
RFETS        2022-02-15T05:00      49.59
RFETS        2022-02-15T06:00      39.05
RFETS        2022-02-15T07:00      49.56
RFETS        2022-02-15T08:00      37.18
RFETS        2022-02-15T09:00      49.56
RFETS        2022-02-15T10:00      37.19
RFETS        2022-02-15T11:00      49.58
RFETS        2022-02-15T12:00      37.20
RFETS        2022-02-15T13:00      49.60
RFETS        2022-02-15T14:00      37.21
RFETS        2022-02-15T15:00      34.11
RFETS        2022-02-15T16:00      34.70
RFETS        2022-02-15T17:00      70.43
RFETS        2022-02-15T18:00      45.58
RFETS        2022-02-15T19:00      36.73
RFETS        2022-02-15T20:00      70.86
RFETS        2022-02-15T21:00      46.20
RFETS        2022-02-15T22:00      46.06
RFETS        2022-02-15T23:00      43.53
RFETS        2022-02-16T00:00      70.43
RFETS        2022-02-16T01:00      45.79
RFETS        2022-02-16T02:00      42.97
RFETS        2022-02-16T03:00      45.07
RFETS        2022-02-16T04:00      44.75
RFETS        2022-02-16T05:00      45.36
RFETS        2022-02-16T06:00      34.64
RFETS        2022-02-16T07:00      40.75
RFETS        2022-02-16T08:00      35.19
RFETS        2022-02-16T09:00      32.77
RFETS        2022-02-16T10:00      33.30
RFETS        2022-02-16T11:00      30.93
RFETS        2022-02-16T12:00      28.62
RFETS        2022-02-16T13:00      26.21
RFETS        2022-02-16T14:00      24.80
RFETS        2022-02-16T15:00      49.64
RFETS        2022-02-16T16:00      27.91
RFETS        2022-02-16T17:00      37.06
RFETS        2022-02-16T18:00      46.30
RFETS        2022-02-16T19:00      45.77
RFETS        2022-02-16T20:00      70.86
RFETS        2022-02-16T21:00      46.91
RFETS        2022-02-16T22:00      46.74
RFETS        2022-02-16T23:00      46.34
RFETS        2022-02-17T00:00      70.43
RFETS        2022-02-17T01:00      45.65
RFETS        2022-02-17T02:00      45.45
RFETS        2022-02-17T03:00      46.07
RFETS        2022-02-17T04:00      45.79
RFETS        2022-02-17T05:00      45.61
RFETS        2022-02-17T06:00      34.82
RFETS        2022-02-17T07:00      43.92
RFETS        2022-02-17T08:00      49.62
RFETS        2022-02-17T09:00      49.58
RFETS        2022-02-17T10:00      74.44
RFETS        2022-02-17T11:00      49.64
RFETS        2022-02-17T12:00      99.32
RFETS        2022-02-17T13:00      99.32
RFETS        2022-02-17T14:00     149.08
RFETS        2022-02-17T15:00     124.32
RFETS        2022-02-17T16:00     149.25
RFETS        2022-02-17T17:00     185.72
RFETS        2022-02-17T18:00     150.21
RFETS        2022-02-17T19:00     149.70
RFETS        2022-02-17T20:00     148.19
RFETS        2022-02-17T21:00     127.57
RFETS        2022-02-17T22:00     127.71
RFETS        2022-02-17T23:00     128.00
RFETS        2022-02-18T00:00     128.14
RFETS        2022-02-18T01:00     127.29
RFETS        2022-02-18T02:00     102.24
RFETS        2022-02-18T03:00     127.57
RFETS        2022-02-18T04:00     103.38
RFETS        2022-02-18T05:00     101.35
RFETS        2022-02-18T06:00     103.10
RFETS        2022-02-18T07:00     101.98
RFETS        2022-02-18T08:00     101.36
RFETS        2022-02-18T09:00     101.27
RFETS        2022-02-18T10:00     106.41
RFETS        2022-02-18T11:00     101.24
RFETS        2022-02-18T12:00     110.41
RFETS        2022-02-18T13:00     100.96
RFETS        2022-02-18T14:00      76.27
RFETS        2022-02-18T15:00     101.11
RFETS        2022-02-18T16:00     101.14
RFETS        2022-02-18T17:00     101.15
RFETS        2022-02-18T18:00     101.11
RFETS        2022-02-18T19:00     101.15
RFETS        2022-02-18T20:00     101.16
RFETS        2022-02-18T21:00     101.12
RFETS        2022-02-18T22:00     101.17
RFETS        2022-02-18T23:00      76.28
RFETS        2022-02-19T00:00     101.17
RFETS        2022-02-19T01:00      99.70
RFETS        2022-02-19T02:00      74.34
RFETS        2022-02-19T03:00      99.14
RFETS        2022-02-19T04:00      74.36
RFETS        2022-02-19T05:00      99.14
RFETS        2022-02-19T06:00      74.38
RFETS        2022-02-19T07:00      99.16
RFETS        2022-02-19T08:00      99.20
RFETS        2022-02-19T09:00      74.36
RFETS        2022-02-19T10:00      99.20
RFETS        2022-02-19T11:00     148.80
RFETS        2022-02-19T12:00     124.00
RFETS        2022-02-19T13:00      99.20
RFETS        2022-02-19T14:00      99.16
RFETS        2022-02-19T15:00     124.00
RFETS        2022-02-19T16:00      99.20
RFETS        2022-02-19T17:00     124.00
RFETS        2022-02-19T18:00      99.22
RFETS        2022-02-19T19:00      99.16
RFETS        2022-02-19T20:00     124.00
RFETS        2022-02-19T21:00      99.22
RFETS        2022-02-19T22:00     124.00
RFETS        2022-02-19T23:00     124.00
RFETS        2022-02-20T00:00     124.00
RFETS        2022-02-20T01:00     124.00
RFETS        2022-02-20T02:00     124.00
RFETS        2022-02-20T03:00     124.00
RFETS        2022-02-20T04:00     124.00
RFETS        2022-02-20T05:00     148.78
RFETS        2022-02-20T06:00     124.00
